S. No.,ApplicationId,Startup/Company Legal Name,"Technology
Readiness
Level (TRL)",Theme,Sheet
124,BHAR-675718,Froots Technologies Private Limited,9,Agri & Food Technologies,Table_2
125,BHAR-679267,Naayom Tech Private Limited,9,Agri & Food Technologies,Table_2
126,BHAR-672496,BioSky Space Innovations Pvt. Ltd.,7,"Energy, Sustainability, and Climate Change",Table_2
127,BHAR-677577,GREENLEAP ROBOTICS PRIVATE LIMITED,9,"Energy, Sustainability, and Climate Change",Table_2
128,BHAR-673122,Altersage Innovations Private Limited,6,Agri & Food Technologies,Table_2
129,BHAR-676453,Vaidic Srijan LLP,9,"Energy, Sustainability, and Climate Change",Table_2
130,BHAR-677230,Bravecore Private Limited,5,Space and Defence,Table_2
131,BHAR-661821,Satiq Concrete Manufacturer Pvt. Ltd.,6,"Energy, Sustainability, and Climate Change",Table_2
132,BHAR-665441,Ved Sanjeevani Private Limited,7,Biotechnology,Table_2
133,BHAR-668387,,7,Manufacturing & Industry 4.0,Table_3
134,BHAR-667622,Enfireix Technologies Pvt Ltd,9,Healthcare & MedTech,Table_3
135,BHAR-663520,QUANTSOLAR TECHNOLOGIES PRIVATE LIMITED,9,"Energy, Sustainability, and Climate Change",Table_3
136,BHAR-661487,,5,Healthcare & MedTech,Table_3
137,BHAR-656719,RAIL LABS PRIVATE LIMITED,5,Manufacturing & Industry 4.0,Table_3
138,BHAR-652432,Terrastack Technologies Private Limited,7,Disaster Management & Resilient Infrastructure,Table_3
139,BHAR-659416,Esyacura Medical Technologies Pvt Ltd,6,Healthcare & MedTech,Table_3
140,BHAR-654261,Ananant Systems Private Limited,7,Space and Defence,Table_3
141,BHAR-653085,GB Texcoat Solution Pvt Ltd,6,Space and Defence,Table_3
142,BHAR-652760,FarmwiseAI Private Limwited,6,Agri & Food Technologies,Table_3
143,BHAR-659010,AmyScan Healthcare Pvt. Ltd.,5,Biotechnology,Table_3
144,BHAR-643094,Greenomers Private Limited,9,"Energy, Sustainability, and Climate Change",Table_3
145,BHAR-646656,Auralytix Medtech Private Limited,4,Healthcare & MedTech,Table_3
146,BHAR-642053,WeHear Innovations Pvt. Ltd.,9,Healthcare & MedTech,Table_3
147,BHAR-642885,Agnit Semiconductors Private Limited,7,Semiconductors,Table_3
148,BHAR-648364,Intech Harness Pvt Ltd,9,Agri & Food Technologies,Table_3
149,BHAR-639131,REIO SYSTEMS PRIVATE LIMITED,7,Next-Gen Communications,Table_3
150,BHAR-615058,EnthuDes Design Private Limited,6,Healthcare & MedTech,Table_3
151,BHAR-585084,Neuracle Health Private Limited,9,Healthcare & MedTech,Table_3
152,BHAR-566170,Aaizel International Technologies Pvt Ltd,6,"Energy, Sustainability, and Climate Change",Table_3
153,BHAR-557475,,8,Next-Gen Communications,Table_3
154,BHAR-559777,Hiranya Earth Private Limited,4,Manufacturing & Industry 4.0,Table_3
155,BHAR-555021,KRITYUM HEALTHTECH PRIVATE LIMITED,6,Healthcare & MedTech,Table_3
156,BHAR-551422,Cellark Powertech Private Limited,8,"Advanced Materials, Rare-earth & Critical Minerals",Table_3
157,BHAR-553709,Beta Tank Robotics Pvt Ltd,8,Manufacturing & Industry 4.0,Table_3
158,BHAR-556800,RonnaLabs Private Limited,7,Manufacturing & Industry 4.0,Table_3
159,BHAR-548485,Symbica Private Limited,5,Healthcare & MedTech,Table_3
160,BHAR-549777,VELQUEST LABORATORIES PVT LTD,5,Healthcare & MedTech,Table_3
161,BHAR-533564,Minimines Cleantech Solutions Pvt. Ltd.,9,"Advanced Materials, Rare-earth & Critical Minerals",Table_3
162,BHAR-538701,LiqSure Systems Pvt. Ltd.,9,"Energy, Sustainability, and Climate Change",Table_3
163,BHAR-534072,CLUIX Private Limited,9,Biotechnology,Table_3
164,BHAR-534525,Polyorbit Pvt. Ltd.,5,Biotechnology,Table_3
165,BHAR-534232,Ai Health Highway India Private Limited,9,Healthcare & MedTech,Table_3
166,BHAR-535646,Easiofy Solutions Pvt Ltd,7,Healthcare & MedTech,Table_3
167,BHAR-488022,Diagopreutic Private Limited,7,Healthcare & MedTech,Table_3
168,BHAR-474556,Sense Health Technologies Private Limited,5,Healthcare & MedTech,Table_3
169,BHAR-423918,Electica Energy,9,"Energy, Sustainability, and Climate Change",Table_3
170,BHAR-359210,,4,Healthcare & MedTech,Table_3
171,BHAR-359004,Diagnovate Private Limited,6,Healthcare & MedTech,Table_3
172,BHAR-243011,Vanix Technologies Private Limited,9,Manufacturing & Industry 4.0,Table_3
173,BHAR-244642,Ksham Innovation Private Limited,5,Healthcare & MedTech,Table_3
174,BHAR-245162,Bravecore Pvt Ltd,7,Smart Cities & Mobility,Table_3
175,BHAR-236402,Texoedge Innovation Private Limited,7,"Energy, Sustainability, and Climate Change",Table_3
176,BHAR-231993,OPTICAL SYNERGY SYSTEMS PRIVATE LIMITED,6,Agri & Food Technologies,Table_3
177,BHAR-221581,Gudlyf Mobility Private Limited,7,"Energy, Sustainability, and Climate Change",Table_3
178,BHAR-214459,Ayati Devices Private Limited,5,Healthcare & MedTech,Table_3
179,BHAR-213996,Samarthya Defence Research and Technology Private Limited,6,Space and Defence,Table_3
180,BHAR-116351,TechXEarthSpace,5,"Energy, Sustainability, and Climate Change",Table_3
181,BHAR-104535,,7,Smart Cities & Mobility,Table_3
182,BHAR-108411,Biofield Power Pvt Ltd,6,"Energy, Sustainability, and Climate Change",Table_3
183,BHAR-104258,Trishulopulsion Technology Private Limited,5,Space and Defence,Table_3
184,BHAR-103439,EMERGY Enviro Private Limited,9,"Energy, Sustainability, and Climate Change",Table_3
185,BHAR-109055,Dash Dynamic Private Limited,8,Smart Cities & Mobility,Table_3
186,BHAR-086822,Aerodramus Private Limited,8,Manufacturing & Industry 4.0,Table_3
187,BHAR-006679,M/S Primary Healthtech Private Limited,9,Healthcare & MedTech,Table_3
188,BHAR-007057,,4,Blue Economy,Table_3
189,BHAR-993221,Medprime Technologies Private Limited,9,Healthcare & MedTech,Table_3
190,BHAR-984285,Ayukriyam Innovations Private Limited,6,Healthcare & MedTech,Table_3
191,BHAR-987247,Genomiki Solutions Pvt. Ltd.,4,Healthcare & MedTech,Table_3
192,BHAR-987417,"LUGAM COCOON PRIVATE LIMITED, RANCHI, JHARKHAND",8,Manufacturing & Industry 4.0,Table_3
193,BHAR-886633,Driblet Private Limited,8,Smart Cities & Mobility,Table_3
194,BHAR-869934,ECOSTRATA INFRA PRIVATE LIMITED,9,"Energy, Sustainability, and Climate Change",Table_3
195,BHAR-863761,Dentifrice Private Limited,8,Healthcare & MedTech,Table_3
196,BHAR-866337,Greenathon Technologies Pvt. Ltd.,7,"Energy, Sustainability, and Climate Change",Table_3
197,BHAR-859483,"Foundation for Innovation & Research in Science & Technology , IIT Kanpur",4,Space and Defence,Table_3
198,BHAR-772291,Huskage Innovations Private Limited,6,"Energy, Sustainability, and Climate Change",Table_3
199,BHAR-774822,,3,Agri & Food Technologies,Table_4
200,BHAR-752198,Cellegant Energy Systems Private Limited,4,"Energy, Sustainability, and Climate Change",Table_4
201,BHAR-748304,MACR MAYR INDIA PVT LTD,7,"Energy, Sustainability, and Climate Change",Table_4
202,BHAR-373210,RiBioP AgroTech Pvt Ltd,6,Agri & Food Technologies,Table_4
203,BHAR-241657,Sdeeparogya AI Pvt Ltd,4,Healthcare & MedTech,Table_4
